Day,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2025-06-24,"Uncategorized","Kirkland, Chicken Breast","60.00 g",65.45,,,,,,,,,,,0.00,1.31,,,,0.00,,0.00,,,,256.36,,24.55,,0.00,0.00,,0.00,,0.00,0.82,38.18,0.27,0.16,0.22,0.00,0.00,0.16,,,,,,,,14.18,,,,,"Poultry Products"
2025-06-24,"Uncategorized","Rice, White, Long-Grain, Regular, Enriched, Cooked","100.00 g",130.00,0.00,0.00,68.44,0.16,0.01,1.48,0.39,0.09,0.00,42.80,0.00,0.00,0.00,0.04,0.00,10.00,0.07,1.20,12.00,0.47,43.00,35.00,7.50,1.00,0.49,28.17,0.34,23.00,0.03,0.00,27.81,0.28,0.00,0.09,0.08,0.08,0.00,0.01,0.06,0.06,0.06,0.12,0.22,0.10,0.06,0.14,2.69,0.10,0.03,0.09,0.16,"Cereal Grains and Pasta"
2025-06-25,"Uncategorized","Trader Joe's, Apricot Preserves","3.00 tbsp",150.00,,,,,,,,,,,54.55,0.00,0.00,,,0.00,,0.60,,,,90.00,,0.00,,39.00,0.00,,36.00,33.00,39.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,"Cereal Grains and Pasta"
2025-06-26,"Uncategorized","Main","1.00 full recipe",930.08,,,237.66,0.06,0.70,0.26,0.96,0.12,0.64,29.88,198.65,6.44,40.00,0.77,3.23,754.16,0.07,3.45,22.12,0.07,115.20,456.00,33.80,1911.24,0.61,52.23,16.00,0.07,18.21,2.00,34.23,45.66,339.92,2.05,0.78,16.04,0.00,0.24,0.06,0.41,0.42,0.96,1.49,1.21,0.56,0.97,85.50,0.72,0.19,0.68,1.14,""
2025-06-26,"Uncategorized","Collagen + protein","1.00 full recipe",170.00,,,,,,,,,,,0.00,0.00,0.00,,,100.00,,0.00,,,,100.00,,110.00,,1.00,0.00,,0.50,0.00,1.00,0.00,10.00,,,0.00,0.00,,,0.60,0.48,1.67,3.14,2.97,0.72,1.03,39.00,2.07,0.41,0.75,1.85,""
2025-06-26,"Uncategorized","Kirkland, Protein Bar, Chocolate Chip Cookie Dough","1.00 bar",190.00,,,,,,,,,,,,,0.00,,,108.00,,1.00,,,,117.00,,190.00,,22.00,10.00,,2.00,2.00,10.00,7.00,5.00,,,2.50,0.00,,,,,,,,,,21.00,,,,,"Snacks"
2025-06-26,"Uncategorized","Cosmic Crisp, Premium Apples","1.00 Serving",100.00,,,119.78,0.02,0.04,0.13,0.09,0.06,,4.20,4.20,6.44,0.00,0.25,3.08,8.40,0.04,0.30,7.00,0.05,15.40,120.00,,1.40,0.06,24.00,6.00,0.07,15.00,0.00,18.00,0.50,0.00,0.01,0.07,0.04,0.00,0.01,0.06,0.00,0.01,0.01,0.02,0.02,0.00,0.01,0.50,0.01,0.00,0.00,0.02,"Fruits and Fruit Juices"
2025-06-26,"Uncategorized","Chomps, Original Beef Stick, Mild","1.00 stick",100.00,,,,,,,,,,,,,0.00,,,40.00,,0.80,,,,160.00,,380.00,,0.00,0.00,,0.00,0.00,0.00,7.00,30.00,,,3.00,0.00,,,,,,,,,,10.00,,,,,"Snacks"
2025-06-26,"Uncategorized","Bread and butter","1.00 full recipe",200.00,,,,,,,,,,,,,0.00,,,40.00,,1.40,,,,160.00,,280.00,,24.00,6.00,,4.00,4.00,18.00,12.00,0.00,3.88,4.75,2.50,0.00,0.48,,,,,,,,,8.00,,,,,""
2025-06-26,"Uncategorized","Better Oats, Instant Oatmeal With Flax Seeds, Maple & Brown Sugar","1.00 pouch",100.00,,,,0.30,0.26,3.20,,0.34,,120.00,224.77,,0.00,1.50,,100.00,,3.60,,,,110.00,,210.00,,18.00,3.00,,0.50,0.50,15.00,2.00,0.00,0.50,1.00,0.00,0.00,,,,,,,,,,4.00,,,,,"Breakfast Cereals"
2025-06-26,"Uncategorized","Nature's Path Organic, Pumpkin Seed +Flax Granola, 260 Cal","110.00 g",520.00,,,,,,,,,,,,,0.00,,,60.00,,4.00,,,,360.00,,90.00,,74.00,10.00,0.00,20.00,18.00,64.00,20.00,0.00,6.00,10.00,3.00,0.00,1.40,9.00,,,,,,,,12.00,,,,,"Breakfast Cereals"
2025-06-26,"Uncategorized","Chobani, Greek Yogurt, Peach on the Bottom","2.00 container",220.00,,,,,,,,,,,,,0.00,,,260.00,,0.00,,,,376.00,,100.00,,30.00,1.00,,28.00,18.00,29.00,0.00,10.00,,,0.00,0.00,,,,,,,,,,22.00,,,,,"Dairy and Egg Products"
2025-06-26,"Uncategorized","Fage, Total, Greek Strained Yogurt, 5% Milkfat","1.00 x 0.75 cup",160.00,,,,,,,,,,,,,0.00,,,200.00,,0.00,,,,260.00,,60.00,,5.00,0.00,,5.00,0.00,5.00,9.00,30.00,,,6.00,0.00,,,,,,,,,,15.00,,,,,"Dairy and Egg Products"
